id,item_name,carry_on_allowed,checked_baggage_allowed,notes,item_name_EN,notes_EN,source
100,크래커,예,예,"보안 담당관은 여행자에게 식품, 분말 및 엑스레이 기계의 명확한 이미지를 막을 수 있는 재료와 같은 물품을 기내 수하물에서 분리하도록 지시할 수 있습니다. 여행자들은 기내 수하물을 깔끔하게 정리하고 스크리닝 과정을 원활하게 하고 줄이 계속 움직일 수 있도록 유지하는 것이 좋습니다.",Crackers,"TSA officers may instruct travelers to separate items from carry-on bags such as foods, powders, and any materials that can clutter bags and obstruct clear images on the X-ray machine. Travelers are encouraged to organize their carry-on bags and keep them uncluttered to ease the screening process and keep the lines moving.",TSA
101,크램폰,예 (특별 지침),예,크램폰은 일반적으로 기내 수하물에 허용됩니다. 그러나 보안 담당관은 보안 위협이 될 수 있다고 생각되면 물품 반입을 금지할 재량권이 있습니다.,Crampons,"Crampons are generally permitted in carry-on bags. However, TSA officers have the discretion to prohibit an item if they feel it may pose a security threat.",TSA
102,크림,예 (3.4oz/100 ml 이상 또는 동일),예,NULL,Cream,NULL,TSA
103,부드러운 딥과 스프레드,예 (3.4oz/100 ml 이상 또는 동일),예,"보안 담당관은 여행자에게 식품, 분말 및 엑스레이 기계의 명확한 이미지를 막을 수 있는 재료와 같은 물품을 기내 수하물에서 분리하도록 지시할 수 있습니다. 여행자들은 기내 수하물을 깔끔하게 정리하고 스크리닝 과정을 원활하게 하고 줄이 계속 움직일 수 있도록 유지하는 것이 좋습니다.",Creamy Dips and Spreads,"TSA officers may instruct travelers to separate items from carry-on bags such as foods, powders, and any materials that can clutter bags and obstruct clear images on the X-ray machine. Travelers are encouraged to organize their carry-on bags and keep them uncluttered to ease the screening process and keep the lines moving.",TSA
104,화장 유골,예 (특별 지침),예,"일부 항공사는 위탁 수하물에 화장한 유해를 허용하지 않으므로, 항공사에 확인하여 가능한 제한 사항에 대해 자세히 알아보십시오.",Cremated Remains,"We understand how painful losing a loved one is and we treat crematory remains with respect. Some airlines do not allow cremated remains in checked bags, so please check with your airline to learn more about possible restrictions.",TSA
105,크리켓 방망이,아니요,예,NULL,Cricket Bats,NULL,TSA
106,코바늘,예,예,수하물 처리 및 검사원의 부상을 방지하기 위해 위탁 수하물에 있는 날카로운 물품은 덮개를 씌우거나 단단하게 포장해야 합니다.,Crochet Hooks,Any sharp objects in checked bags should be sheathed or securely wrapped to prevent injury to baggage handlers and inspectors.,TSA
107,쇠지렛대,아니요,예,NULL,Crowbars,NULL,TSA
108,목발,예,예,NULL,Crutches,NULL,TSA
109,고데기,예 (특별 지침),예 (특별 지침),"기내 반입 시 배터리가 일체형인 무선 고데기는 불가능합니다. 다만, 배터리 분리형은 본체와 배터리를 분리한 후 배터리에 단락 방지 조치를 하면 반입할 수 있습니다. 위탁 수하물은 배터리 일체형, 분리형 모두 불가능하며, 배터리를 분리한 본체만 위탁이 가능합니다.",Curling Iron,"For carry-on, cordless curling irons with a built-in battery are prohibited. However, those with a removable battery are allowed if the battery is detached from the main body and short-circuit prevention measures are taken. For checked baggage, both types are prohibited. Only the main body (without the battery) can be checked in.",TSA
110,도마,예,예,일반적으로 플라스틱 및 작은 목재 도마는 허용됩니다. 그러나 최종 결정은 보안 담당관에게 달려 있습니다.,Cutting Boards,"Generally, plastic and small wood cutting boards are allowed. However, the final decision rests with our checkpoint officers.",TSA
111,심벌즈,예 (특별 지침),예 (특별 지침),비행 전에 항공사에 문의하여 악기가 항공기 크기 요구 사항을 충족하는지 확인하십시오. 악기는 기내 또는 위탁 수하물로 운송할 때 보안 검색을 받아야 합니다. 기내로 운송되는 악기는 보안 검색대에서 물리적 검사가 필요합니다. 장비에 특별한 관리 및 취급이 필요한 경우 보안 담당관에게 알리십시오. 위탁 수하물에 황동 악기를 포장하십시오.,Cymbals,Check with your airline prior to your flight to ensure your instrument meets the aircraft size requirements. Musical instruments must undergo screening when transported as carry-on or in checked bags. Musical instruments transported as carry-on require a physical inspection at the security checkpoint. Inform the TSA officer if your instrument requires special care and handling. Pack brass instruments in your checked bags.,TSA
112,다트,아니요,예,수하물 처리 및 검사원의 부상을 방지하기 위해 위탁 수하물에 있는 날카로운 물품은 덮개를 씌우거나 단단하게 포장해야 합니다.,Darts,Any sharp objects in checked bags should be sheathed or securely wrapped to prevent injury to baggage handlers and inspectors.,TSA
113,탈취제 (에어로졸),예 (3.4oz/100 ml 이상 또는 동일),예,위탁 수하물에 에어로졸을 포함한 의약품 및 화장품의 총량을 제한합니다. 1인당 총량은 2kg 또는 2L를 초과할 수 없습니다. 각 용기의 용량은 0.5kg 또는 500ml를 초과해서는 안 됩니다.,Deodorant (aerosol),"The FAA limits the total amount of restricted medicinal and toiletry articles, including aerosols, in checked baggage. The total aggregate quantity per person cannot exceed 2 kg (70 ounces) or 2 L (68 fluid ounces). The capacity of each container must not exceed 0.5 kg (18 ounces) or 500 ml (17 fluid ounces). See theFAA regulationsfor more information.",TSA
114,탈취제 (액체),예 (3.4oz/100 ml 이상 또는 동일),예,위탁 수하물에 에어로졸을 포함한 의약품 및 화장품의 총량을 제한합니다. 1인당 총량은 2kg 또는 2L를 초과할 수 없습니다. 각 용기의 용량은 0.5kg 또는 500ml를 초과해서는 안 됩니다.,Deodorant (liquid),"The FAA limits the total amount of restricted medicinal and toiletry articles, including aerosols, in checked baggage. The total aggregate quantity per person cannot exceed 2 kg (70 ounces) or 2 L (68 fluid ounces). The capacity of each container must not exceed 0.5 kg (18 ounces) or 500 ml (17 fluid ounces). See theFAA regulationsfor more information.",TSA
115,탈취제 (고체형),예,예,NULL,Deodorant (Solid),NULL,TSA
116,데스크탑 컴퓨터,예,예,기내 수하물에서 컴퓨터를 꺼내고 엑스레이 검사를 위해 별도의 통에 넣으십시오.,Desktop Computers,Please remove the computer from your carry-on bag and place it in a separate bin for X-ray screening.,TSA
117,세제 (액체),예 (3.4oz/100 ml 이상 또는 동일),예,NULL,Detergent (liquid),NULL,TSA
118,세제 (파우더 또는 펠렛),예,예,"350ml가 넘는 분말류는 엑스레이 검사를 위해 별도의 통에 넣어야 합니다. 추가 선별 검사가 필요할 수 있으며, 용기를 열어야 할 수도 있습니다. 편의를 위해 350ml가 넘는 필수 분말은 위탁 수하물에 넣는 것을 권장합니다.",Detergent (powder or pellet),"Powder-like substances greater than 12 oz. / 350 mL must be placed in a separate bin for X-ray screening. They may require additional screening and containers may need to be opened. For your convenience, we encourage you to place non-essential powders greater than 12 oz. in checked bags.",TSA
119,디지털 카메라,예,예,이 물품은 기내 또는 위탁 수하물로 운송할 수 있습니다. 물품이 오버헤드 짐칸이나 비행기 좌석 아래에 맞는지 항공사에 확인해야 합니다.,Digital Cameras,"For items you wish to carry on, you should check with the airline to ensure that the item will fit in the overhead bin or underneath the seat of the airplane.",TSA
120,분해된 컴퓨터/컴퓨터 부품/외장 하드,예,예,NULL,Disassembled computer/computer parts/external hard drives,NULL,TSA
121,소독용 물티슈,예,예,NULL,Disinfecting Wipes,NULL,TSA
122,일회용 면도기,예,예,수하물 처리 및 검사원의 부상을 방지하기 위해 위탁 수하물에 있는 날카로운 물품은 덮개를 씌우거나 단단하게 포장해야 합니다.,Disposable Razor,Any sharp objects in checked bags should be sheathed or securely wrapped to prevent injury to baggage handlers and inspectors.,TSA
123,디봇 도구,예,예,NULL,Divot Tools,NULL,TSA
124,말린 과일,예,예,"보안 담당관은 여행자에게 식품, 분말 및 엑스레이 기계의 명확한 이미지를 막을 수 있는 재료와 같은 물품을 기내 수하물에서 분리하도록 지시할 수 있습니다. 여행자들은 기내 수하물을 깔끔하게 정리하고 스크리닝 과정을 원활하게 하고 줄이 계속 움직일 수 있도록 유지하는 것이 좋습니다.",Dried Fruits,"TSA officers may instruct travelers to separate items from carry-on bags such as foods, powders, and any materials that can clutter bags and obstruct clear images on the X-ray machine. Travelers are encouraged to organize their carry-on bags and keep them uncluttered to ease the screening process and keep the lines moving.",TSA
125,전동 드릴 및 드릴 날,아니요,예,NULL,Drills and Drill Bits,NULL,TSA
126,"드론, 무인 항공기 시스템 (UAS)",항공사로 확인하십시오,항공사로 확인하십시오,드론은 보안 검색대를 통과할 수 있습니다. 정책에 대해 여행하기 전에 항공사에 확인하십시오.,"Drones, Unmanned Aircraft Systems (UAS)",Drones are allowed through the checkpoint. Please check with your airline prior to traveling for their policy.,TSA
127,드럼 스틱 (드럼용 악기),예,예,NULL,Drum Sticks (instrument drum set),NULL,TSA
128,드럼 스틱,예,예,악기는 기내 또는 위탁 수하물로 운송할 때 보안 검색을 받아야 합니다. 기내로 운송되는 악기는 보안 검색대에서 물리적 검사가 필요합니다. 장비에 특별한 관리 및 취급이 필요한 경우 보안 담당관에게 알리십시오. 위탁 수하물에 황동 악기를 포장하십시오.,Drumsticks,Musical instruments must undergo screening when transported as carry-on or in checked bags. Musical instruments transported as carry-on require a physical inspection at the security checkpoint. Inform the TSA officer if your instrument requires special care and handling. Pack brass instruments in your checked bags.,TSA
129,"건식 배터리 (AA, AAA, C 및 D)",예,예,"이 물품은 가장 일반적인 크기의 비 리튬 건식 배터리(알칼리성, 니켈 금속 수소화물, 니켈 카드뮴 등)에 적용됩니다. AA, AAA, C, D, 버튼 셀, 9볼트 등은 손상으로부터 보호되어야 합니다.","Dry batteries (AA, AAA, C, and D)","This entry applies to typical non-lithium dry batteries (alkaline, nickel metal hydride, nickel cadmium, etc.) in the most common sizes: AA, AAA, C, D, button cell, 9-volt, etc.Batteries must be protected from damage and creating sparks or a dangerous evolution of heat.? For more information, see theFAA regulationson batteries.",TSA
130,드라이 아이스,항공사로 확인하십시오,항공사로 확인하십시오,드라이아이스는 제대로 포장되고(포장이 배출되고) 표시되면 5.5파운드로 제한됩니다. 항공사의 승인이 필요합니다.,Dry Ice,"The FAA limits you to 5.5 pounds of dry ice that is properly packaged (the package is vented) and marked. Airline approval is required. For more information, visit theFAA website.",TSA
131,드라이 샴푸 (에어로졸),예 (3.4oz/100 ml 이상 또는 동일),예,위탁 수하물에 에어로졸을 포함한 의약품 및 화장품의 총량을 제한합니다. 1인당 총량은 2kg 또는 2L를 초과할 수 없습니다. 각 용기의 용량은 0.5kg 또는 500ml를 초과해서는 안 됩니다.,Dry Shampoo (aerosol),"The FAA limits the total amount of restricted medicinal and toiletry articles, including aerosols, in checked baggage. The total aggregate quantity per person cannot exceed 2 kg (70 ounces) or 2 L (68 fluid ounces). The capacity of each container must not exceed 0.5 kg (18 ounces) or 500 ml (17 fluid ounces). See theFAA regulationsfor more information.",TSA
132,덕트 테이프,예,예,NULL,Duct Tape,NULL,TSA
133,DVD 플레이어,예,예,이 물품은 기내 또는 위탁 수하물로 운송할 수 있습니다. 물품이 오버헤드 짐칸이나 비행기 좌석 아래에 맞는지 항공사에 확인해야 합니다.,DVD Players,"For items you wish to carry on, you should check with the airline to ensure that the item will fit in the overhead bin or underneath the seat of the airplane.",TSA
134,다이너마이트,아니요,아니요,NULL,Dynamite,NULL,TSA
135,전자담배 액상,예 (3.4oz/100 ml 이상 또는 동일),예,NULL,Electric Blankets,NULL,TSA
136,E-Z 패스 단말기,예,예,NULL,Electric Fans,"You may transport this item in carry-on or checked baggage. For items you wish to carry on, you should check with the airline to ensure that the item will fit in the overhead bin or underneath the seat of the airplane.",TSA
137,전기 면도기,예,예,NULL,Electric Razors,NULL,TSA
138,전자담배 및 베이핑 기기,예 (특별 지침),아니요,전자 흡연 장치는 기내 수하물에서만 허용됩니다.,Electronic Cigarettes and Vaping Devices,Electronic smoking devices are allowed only in carry-on baggage.,TSA
139,전자 칫솔,예 (특별 지침),예 (특별 지침),리튬 금속 또는 리튬 이온 배터리가 포함된 장치는 기내 수하물로 운반해야 합니다. 배터리가 포함된 대부분의 다른 소비자 장치는 기내 및 위탁 수하물로 모두 허용됩니다.,Electronic Toothbrush,Devices containing lithium metal or lithium ion batteries should be carried in carry-on baggage. ?Most other consumer devices containing batteries are allowed in carry-on and checked baggage.,TSA
140,비상 위치 표시 무선신호기,항공사로 확인하십시오,항공사로 확인하십시오,NULL,E-liquids,NULL,TSA
141,빈 음료 용기,예,예,NULL,Emergency Position-Indicating Radiobeacons (EPIRB),NULL,TSA
142,전기 담요,예,예,NULL,Empty beverage container,NULL,TSA
143,빈 물병,예,예,NULL,Empty Water Bottle,NULL,TSA
144,연료가 완전히 제거된 엔진 구동 장비,아니요,항공사로 확인하십시오,잔류 증기를 포함하여 엔진에 연료가 남아 있지 않습니다.,Engine-powered Equipment Completely Purged of Fuel,"No amount of fuel may remain in the engine, including residual vapors.",TSA
145,잔류 연료가 있는 엔진 구동 장비,아니요,아니요,"잔류 연료(예: 전기 톱, 발전기, 트리머 등)가 있는 엔진 구동 장비는 기내 또는 위탁 수하물에 허용되지 않습니다. 잔류 증기를 포함하여 엔진에 연료가 남아 있지 않아야 합니다.",Engine-powered Equipment with Residual Fuel,"Engine-powered equipment with residual fuel (e.g., chainsaws, generators, trimmers, etc.) is not allowed in carry-on or checked bags. No amount of fuel may remain in the engine, including residual vapors.",TSA
146,연료가 완전히 제거된 엔진 및 엔진 구동 장비,아니요,항공사로 확인하십시오,엔진은 잔여물 및 증기를 포함한 모든 액체 또는 기체 연료가 완전히 제거된 상태여야 위탁 수하물로 허용됩니다.,Engines and Engine-powered Equipment Completely Purged of Fuel,"Engines must be completely purged of all liquid or gaseous fuel, including residue and vapors, to be allowed in checked baggage.",TSA
147,잔류 연료가 남아 있는 엔진 및 엔진 구동 장비,아니요,아니요,국제 규정으로 위탁 수하물에 허용됩니다.,Engines and Engine-powered Equipment with Residual Fuel,"Though allowed in checked baggage by international regulations, engines using fuels, internal combustion engines, or fuel cell engines are not allowed in baggage in the United States.",TSA
148,크리스마스 크래커,아니요,아니요,NULL,English Christmas Crackers,NULL,TSA
149,에피펜,예,예,"여행에 합리적인 양의 의학적으로 필요한 액체, 젤 및 에어로졸은 허용되지만, 보안 검색대에서 담당관에게 알려야 합니다.",EpiPens,"TSA allows larger amounts of medically necessary liquids, gels, and aerosols in reasonable quantities for your trip, but you must declare them to TSA officers at the checkpoint for inspection.",TSA
150,연장 코드,예,예,"전자 제품 물품을 조심스럽게 포장하고 모든 코드가 포장되어 있으며 DVD, CD 또는 카세트가 장치에서 제거되었는지 확인하십시오. 위탁 또는 기내 수하물에 비싸고 깨지기 쉬운 전자 제품을 포장할 수 있지만, 기내 수하물에 포장하는 것이 좋습니다.",Extension Cord,"Please carefully pack your electronics items, making sure all cords are wrapped and any DVDs, CDs, or cassettes are removed from their devices. While you can pack expensive, fragile electronics items in checked or carry-on bags, we recommend packing them in your carry-on.",TSA
151,외부 의료 기기,예 (특별 지침),예 (특별 지침),"뼈 성장 자극기, 척추 자극기, 신경 자극기, 포트, 공급 튜브, 인슐린 펌프, 삼투압 또는 신체에 부착된 기타 의료 기기가 있고 선별 과정이 시작되기 전에 위치가 있다면 보안 담당관에게 알려주십시오. 귀하는 담당관에게 귀하의 상태를 설명하기 위해 알림 카드 또는 기타 의료 문서를 제공할 수 있습니다. 장치 제조업체와 상담하여 엑스레이, 금속 탐지기 또는 고급 이미징 기술을 통과할 수 있는지 여부를 결정하십시오. 선별 검사에 대한 도움이 필요한 경우 승객 지원 전문가 또는 감독 보안 담당관을 요청할 수 있습니다. 리튬 금속 또는 리튬 이온 배터리가 포함된 사전은 기내 수하물로 운반해야 합니다. 배터리를 포함하는 대부분의 다른 소비자 전자 장치는 기내 및 위탁 수하물로 허용됩니다.",External Medical Devices,"Inform the TSA officer if you have a bone growth stimulator, spinal stimulator, neurostimulator, port, feeding tube, insulin pump, ostomy or other medical device attached to your body and where it is located before the screening process begins. You may provide the officer with the TSA notification card or other medical documentation to describe your condition.Submit the device for X-ray screening if you can safely disconnect. Consult with the manufacturer of the device to determine whether it can pass through the X-ray, metal detector or advanced imaging technology for screening.If you cannot disconnect from the device, it may require additional screening and those in sensitive areas are subject to careful and gentle inspection. For more information, see TSAspecial procedures.If you need assistance with screening, you may ask for a Passenger Support Specialist or a Supervisory TSA Officer.Devices containing lithium metal or lithium ion batteries must be carried in carry-on baggage. ?Most other consumer electronic devices containing batteries are allowed in carry-on and checked baggage.",TSA
152,안약,예 (3.4oz/100 ml 이상 또는 동일),예,NULL,Eye Drops,NULL,TSA
153,아이 라이너 (액체),예 (3.4oz/100 ml 이상 또는 동일),예,NULL,Eye Liners (liquid),NULL,TSA
154,비료,아니요,아니요,NULL,Fertilizer,NULL,TSA
155,피젯 스피너,예,예,NULL,Fidget Spinners,NULL,TSA
156,필름,예,예,"미개발 필름이 포함된 미개발 필름과 카메라를 기내 수하물에 넣거나, 보안 검색대에서 미개발 필름을 꺼내 손 검사를 요청하는 것이 좋습니다.",Film,We recommend that you put undeveloped film and cameras containing undeveloped film in your carry-on bags or take undeveloped film with you to the checkpoint and ask for a hand inspection.,TSA
157,소화기 및 기타 압축 가스 실린더,아니요,아니요,NULL,Fire Extinguishers and Other Compressed Gas Cylinders,NULL,TSA
158,총기류 및 소음기,아니요,예 (특별 지침),"위탁 수하물에 담긴 총기는 내리고 잠긴 딱딱한 용기에 포장하고, 체크인할 때 항공사에 신고해야 합니다. 항공사에 위탁 수하물에 총기류 반입이 허용되는지 확인하십시오. 총기와 함께 여행하기 위한 지침을 읽으십시오.","Firearms, Firearm Silencers/Suppressors","Firearms carried in checked bags must be unloaded, packed in a locked hard-sided container, and declared to the airline at check-in. Check with your airline to see if they allow firearms in checked bags.Read the guidelinesfor traveling with firearms.",TSA
159,폭죽,아니요,아니요,NULL,Fireworks,NULL,TSA
160,낚싯대,예,예,낚싯대는 기내 및 위탁 수하물로 허용됩니다. 그러나 승객은 낚싯대가 기내 수하물의 크기 제한 내에 적합한지 항공사에 확인해야 합니다.,Fishing pole,"Fishing rods are permitted in carry-on and checked bags; however, passengers should check with the airline to confirm that the fishing rod fits within size limitations for carry-on items.",TSA
161,"가연성 액체, 겔 또는 에어로졸 페인트",아니요,아니요,NULL,"Flammable Liquid, Gel, or Aerosol Paint",NULL,TSA
162,가연성 페인트,아니요,아니요,NULL,Flammable Paints,NULL,TSA
163,플레어 총,아니요,아니요,NULL,Flare Guns,NULL,TSA
164,플레어,아니요,아니요,NULL,Flares,NULL,TSA
165,손전등,예,예,NULL,Flashlights,NULL,TSA
166,꽃,예,예,신선한 꽃은 보안 검색대를 통해 물 없이 허용됩니다.,Flowers,Fresh flowers are allowed through the checkpoint without water.,TSA
167,폼 소재 장난감 칼,아니요,예,NULL,Foam Toy Sword,NULL,TSA
168,폼 요가 블록,예,예,NULL,Foam Yoga Blocks,NULL,TSA
169,미식축구 헬멧,예,예,NULL,Football Helmets,NULL,TSA
170,포크,예,예,NULL,Fork,NULL,TSA
171,"포름 알데히드 용액, 10 % 미만",예 (3.4oz/100 ml 이상 또는 동일),예 (특별 지침),"10% 미만의 포름 알데히드 용액은 유해 물질로 제한되지 않습니다. 흡수성 재료를 사용한 누출 방지 포장은 여전히 강력하게 권장됩니다. 10% 이상의 포름 알데히드를 함유하는 포름 알데히드 솔루션의 경우, ""보존 용액의 생물학적 표본""에 대한 별도의 항목을 참조하십시오. 팁: 전체 강도 ""포르말린""은 전형적으로 35% -40% 포름 알데히드입니다. 따라서 25% 미만의 포르말린 소포는 10% 미만이며 제한되지 않습니다.","Formaldehyde solution, less than 10 percent","Formaldehyde solutions of less than 10% are not restricted as hazardous materials. Leak-proof packaging with absorbent material is still strongly encouraged.? For formaldehyde solutions containing more than 10% formaldehyde, see separate entry for Biological specimens in preservative solutions.""Tip: Full-strength ""Formalin"" is typically 35%-40% formaldehyde by volume. So a solution that is less than 25% Formalin would be less than 10% formaldehyde and not restricted.""",TSA
172,파운데이션,예 (3.4oz/100 ml 이상 또는 동일),예,NULL,Foundation,NULL,TSA
173,아이스 팩,예 (특별 지침),예,냉동 액체 품목과 젤 팩은 보안 검색을 위해 제시될 때 고체로 냉동된 상태여야 합니다. 냉동 액체 품목이 부분적으로 녹거나 눅눅하거나 용기 바닥에 액체가 있는 경우 3-1-1 액체 요구 사항을 충족해야 합니다.,Freezer packs,"Frozen liquid items and gel packs are allowed through the checkpoint as long as they are frozen solid when presented for screening. If frozen liquid items are partially melted, slushy, or have any liquid at the bottom of the container, they must meet 3-1-1 liquids requirements.",TSA
174,신선한 계란,예,예,"보안 담당관은 여행자에게 식품, 분말 및 엑스레이 기계의 명확한 이미지를 방해할 수 있는 재료와 같은 물품을 기내 수하물에서 분리하도록 지시할 수 있습니다. 여행자들은 기내 수하물을 깔끔하게 정리하고 스크리닝 과정을 원활하게 하고 줄이 계속 움직일 수 있도록 유지하는 것이 좋습니다.",Fresh Eggs,"TSA officers may instruct travelers to separate items from carry-on bags such as foods, powders, and any materials that can clutter bags and obstruct clear images on the X-ray machine. Travelers are encouraged to organize their carry-on bags and keep them uncluttered to ease the screening process and keep the lines moving.",TSA
175,신선한 과일과 채소,예 (특별 지침),예,"100ml보다 큰 액체 또는 젤 형태의 식품은 기내 수하물에 허용되지 않으며, 가능한 경우 위탁 수하물에 넣어야 합니다.",Fresh Fruits and Vegetables,Solid food items (not liquids or gels) can be transported in either your carry-on or checked bags within the continental United States. Liquid or gel food items larger than 3.4 oz are not allowed in carry-on bags and should be placed in your checked bags if possible.,TSA
176,신선한 고기와 해산물,예 (특별 지침),예,"고기, 해산물 및 기타 비 액체 식품은 기내 및 위탁 수하물 모두에서 허용됩니다. 음식이 냉각기나 다른 용기에 얼음이나 젤 팩으로 채워져 있다면 보안 검색대를 통과할 때 얼음이나 젤 팩이 완전히 얼어 있는 상태여야 합니다. 얼음 또는 젤 팩이 부분적으로 녹아 용기 바닥에 액체가 있는 경우 허용되지 않습니다. 또한 기내 또는 위탁 수하물에 드라이아이스에 얼어붙은 부패하기 쉬운 식품을 포장할 수도 있습니다. 규정은 5파운드의 드라이아이스로 제한하며 (포장이 배출되고) 표시되어야 합니다.",Fresh Meat and Seafood,"Meat, seafood and other non-liquid food items are permitted in both carry-on and checked bags. If the food is packed with ice or ice packs in a cooler or other container, the ice or ice packs must be completely frozen when brought through screening. If the ice or ice packs are partially melted and have any liquid at the bottom of the container, they will not be permitted. You also can pack frozen perishables in your carry-on or checked bags in dry ice. The FAA limits you to five pounds of dry ice that is properly packaged (the package is vented) and marked.",TSA
177,냉동식품,예 (특별 지침),예,"고기, 해산물, 야채 및 기타 비 액체 식품은 기내 및 위탁 수하물 모두에서 허용됩니다. 음식이 냉각기나 다른 용기에 얼음이나 젤 팩으로 채워져 있다면 보안 검색대를 통과할 때 얼음이나 젤 팩이 완전히 얼어 있는 상태여야 합니다. 얼음 또는 젤 팩이 부분적으로 녹아 용기 바닥에 액체가 있는 경우 허용되지 않습니다.",Frozen Food,"Meat, seafood, vegetables and other non-liquid food items are permitted in both carry-on and checked bags. If the food is packed with ice or ice packs in a cooler or other container, the ice or ice packs must be completely frozen when brought through screening. If the ice or ice packs are partially melted and have any liquid at the bottom of the container, they will not be permitted.",TSA
178,휴대용 전자 장치 및 예비 연료 전지 카트리지 전력을 공급하는 데 사용되는 연료 전지 (가연성 가스 또는 방수 재료),예 (특별 지침),아니요,"2개의 여분의 연료 전지 카트리지는 기내 수하물로 운반될 수 있습니다. 각 연료 전지는 항공기 객실에만 승인된 ""제조업체""로 표시되어야 합니다. 전자 장치에 포함되지 않은 연료 전지 카트리지(전자 장치에 포함되지 않은)는 카트리지에 허용되는 최대 수량과 연료가 표시되어 있어야 하며 규정에 따라 위탁 수하물로 허용됩니다.",Fuel Cells Used to Power Portable Electronic Devices and Spare Fuel Cell Cartridges (Flammable Gases or Water-Reactive Material),"Two spare fuel cell cartridges may be carried in carry-on baggage only.Each fuel cell must be  spare fuel cell cartridges containing flammable gases and water reactive substances are only allowed in carry-on baggage by U.S. regulations.? SeeFAA Regulationsfor more information."" marked by the manufacturer Approved for carriage in aircraft cabin only"".Each fuel cell cartridge (not the electronic device) must be marked with the maximum quantity and type of fuel in the cartridge.Though allowed in both carry-on and checked baggage according to international regulations",TSA
179,휴대용 전자 장치 및 예비 연료 전지 카트리지 전력을 공급하는 데 사용되는 연료 전지 (가연성 액체/부식 재료),예 (특별 지침),예 (특별 지침),2개의 여분의 연료 전지 카트리지가 운반될 수 있습니다. 국제 규정이 국내 규정과 다를 수 있으므로 국제 항공편에 대한 자세한 내용은 규정을 참조하십시오.,Fuel Cells Used to Power Portable Electronic Devices and Spare Fuel Cell Cartridges (Flammable Liquid/Corrosive Material),Two spare fuel cell cartridges may be carried. See theFAA Regulationsfor more information on quantity limits.For international flights check with your airline as international regulations may vary from domestic regulations.,TSA
180,연료,아니요,아니요,요리 연료와 같은 가연성 액체 연료는 금지됩니다.,Fuels,"Any flammable liquid fuel, such as cooking fuel,?is prohibited.",TSA
181,대형 비디오 게임 콘솔,예,예,엑스레이 검사를 위해 콘솔을 별도의 통에 넣으십시오.,Full Sized Video Game Consoles,Please place the console in a separate bin for X-ray screening.,TSA
182,가스 횃불,아니요,아니요,NULL,Gas Torches,NULL,TSA
183,가솔린,아니요,아니요,NULL,Gasoline,NULL,TSA
184,가이거 카운터,예,예,NULL,Geiger Counters,NULL,TSA
185,젤 아이스 팩,예 (특별 지침),예,냉동 액체 품목은 보안 검색을 위해 제시될 때 냉동 상태여야만 보안 검색대를 통과할 수 있습니다. 냉동 액체 품목이 부분적으로 녹거나 칙칙하거나 용기 바닥에 액체가 있는 경우 3-1-1 액체 요구 사항을 충족해야 합니다.,Gel Ice Packs,"Frozen liquid items are allowed through the checkpoint as long as they are frozen solid when presented for screening. If frozen liquid items are partially melted, slushy, or have any liquid at the bottom of the container, they must meet 3-1-1 liquids requirements.",TSA
186,젤 타입 양초,아니요,예,NULL,Gel-Type Candles,NULL,TSA
187,유리,예,예,NULL,Glass,NULL,TSA
188,유리 액자,예,예,NULL,Glass Picture Frame,NULL,TSA
189,빈 유리 꽃병,예,예,NULL,Glass Vase (empty),NULL,TSA
190,글로우 스틱,예 (3.4oz/100 ml 이상 또는 동일),예,"글로우 스틱은 기내 수하물에 대한 3-1-1 액체 규정을 따라야 합니다. 다른 액체, 젤 및 에어로졸이 들어 있는 1L 용량의 단일 가방에 넣으십시오.",Glow Sticks,"Glow sticks must follow the 3-1-1 liquids rule for carry-on bags. Please place them in a single, quart-size bag with other liquids, gels and aerosols.",TSA
191,골프 공,예,예,NULL,Golf Balls,NULL,TSA
192,골프 클럽,아니요,예,NULL,Golf Clubs,NULL,TSA
193,골프 티,예,예,NULL,Golf Tees,NULL,TSA
194,강판,예,예,NULL,Grater,NULL,TSA
195,그레이비,예 (3.4oz/100 ml 이상 또는 동일),예,NULL,Gravy,NULL,TSA
196,기타,예 (특별 지침),예 (특별 지침),정책은 항공사에 확인하십시오. 악기는 기내 또는 위탁 수하물로 운송할 때 보안 검색을 받아야 합니다. 기내로 운송되는 악기는 보안 검색대에서 물리적 검사가 필요합니다. 장비에 특별한 관리 및 취급이 필요한 경우 보안 담당관에게 알리십시오. 위탁 수하물에 황동 악기를 포장하십시오.,Guitar,Please check with your airline for their policy. Musical instruments must undergo screening when transported as carry-on or in checked bags. Musical instruments transported as carry-on require a physical inspection at the security checkpoint. Inform the TSA officer if your instrument requires special care and handling. Pack brass instruments in your checked bags.,TSA
197,껌,예,예,NULL,Gum,NULL,TSA
198,화약,아니요,아니요,블랙 파우더 및 타악기 캡을 포함합니다.,Gun Powder,Including black powder and percussion caps.,TSA
199,헤어 클리퍼,예,예,NULL,Hair Clippers,NULL,TSA
200,헤어 드라이어,예,예,NULL,Hair Dryers,NULL,TSA
201,헤어 젤,예 (3.4oz/100 ml 이상 또는 동일),예,NULL,Hair Gel,NULL,TSA
