location_id,table_title,table_title_ko,category,category_ko,budget,mid_range,luxury
166,Yichang on a Budget,이창의 예산,Alcohol,주류,3 - 9,7 - 22,14 - 41
167,Hunan on a Budget,Hunan의 예산,Accommodation,숙박,12,29,55
167,Hunan on a Budget,Hunan의 예산,Local Transportation,지역 교통,6,15,28
167,Hunan on a Budget,Hunan의 예산,Food,음식,16,36,71
167,Hunan on a Budget,Hunan의 예산,Entertainment,엔터테인먼트,9,21,41
167,Hunan on a Budget,Hunan의 예산,Alcohol,주류,3 - 10,8 - 23,15 - 46
168,Zhangye on a Budget,잔이의 예산,Accommodation,숙박,17,39,74
168,Zhangye on a Budget,잔이의 예산,Local Transportation,지역 교통,17,39,74
168,Zhangye on a Budget,잔이의 예산,Food,음식,20,45,85
168,Zhangye on a Budget,잔이의 예산,Entertainment,엔터테인먼트,5,11,20
168,Zhangye on a Budget,잔이의 예산,Alcohol,주류,2 - 5,4 - 11,7 - 20
169,Henan on a Budget,Henan의 예산,Accommodation,숙박,134,502,"2,217"
169,Henan on a Budget,Henan의 예산,Local Transportation,지역 교통,44,165,731
169,Henan on a Budget,Henan의 예산,Food,음식,129,517,"2,402"
169,Henan on a Budget,Henan의 예산,Entertainment,엔터테인먼트,133,542,"2,550"
169,Henan on a Budget,Henan의 예산,Alcohol,주류,37 - 110,151 - 452,"712 - 2,135"
170,Colombia on a Budget,콜롬비아의 예산,Accommodation,숙박,5.08,14,44
170,Colombia on a Budget,콜롬비아의 예산,Local Transportation,지역 교통,2.70,7.63,24
170,Colombia on a Budget,콜롬비아의 예산,Food,음식,7.26,19,51
170,Colombia on a Budget,콜롬비아의 예산,Entertainment,엔터테인먼트,5.36,14,37
170,Colombia on a Budget,콜롬비아의 예산,Alcohol,주류,2 - 5,4 - 13,12 - 37
171,Bogota on a Budget,보고타의 예산,Accommodation,숙박,10,25,63
171,Bogota on a Budget,보고타의 예산,Local Transportation,지역 교통,3,8,22
171,Bogota on a Budget,보고타의 예산,Food,음식,9,22,57
171,Bogota on a Budget,보고타의 예산,Entertainment,엔터테인먼트,5,13,34
171,Bogota on a Budget,보고타의 예산,Alcohol,주류,3 - 8,7 - 20,15 - 44
172,Cali on a Budget,칼리의 예산,Accommodation,숙박,2,6,16
172,Cali on a Budget,칼리의 예산,Local Transportation,지역 교통,2,5,17
172,Cali on a Budget,칼리의 예산,Food,음식,6,14,36
172,Cali on a Budget,칼리의 예산,Entertainment,엔터테인먼트,4,10,27
172,Cali on a Budget,칼리의 예산,Alcohol,주류,2 - 5,4 - 12,11 - 34
173,Cartagena on a Budget,카르타헤나의 예산,Accommodation,숙박,8,26,101
173,Cartagena on a Budget,카르타헤나의 예산,Local Transportation,지역 교통,3,7,20
173,Cartagena on a Budget,카르타헤나의 예산,Food,음식,7,16,39
173,Cartagena on a Budget,카르타헤나의 예산,Entertainment,엔터테인먼트,8,21,55
173,Cartagena on a Budget,카르타헤나의 예산,Alcohol,주류,2 - 5,4 - 13,12 - 35
174,Medellin on a Budget,메 델린의 예산,Accommodation,숙박,2,5,12
174,Medellin on a Budget,메 델린의 예산,Local Transportation,지역 교통,1,4,13
174,Medellin on a Budget,메 델린의 예산,Food,음식,6,16,44
174,Medellin on a Budget,메 델린의 예산,Entertainment,엔터테인먼트,5,12,29
174,Medellin on a Budget,메 델린의 예산,Alcohol,주류,1 - 4,3 - 10,10 - 29
175,Pereira on a Budget,페레 라의 예산,Accommodation,숙박,11,25,47
175,Pereira on a Budget,페레 라의 예산,Local Transportation,지역 교통,9,20,37
175,Pereira on a Budget,페레 라의 예산,Food,음식,16,39,79
175,Pereira on a Budget,페레 라의 예산,Entertainment,엔터테인먼트,8,18,37
175,Pereira on a Budget,페레 라의 예산,Alcohol,주류,3 - 9,7 - 21,12 - 37
176,Rosario Islands on a Budget,로사리오 제도의 예산,Accommodation,숙박,14,32,62
176,Rosario Islands on a Budget,로사리오 제도의 예산,Local Transportation,지역 교통,19,44,85
176,Rosario Islands on a Budget,로사리오 제도의 예산,Food,음식,20,47,89
176,Rosario Islands on a Budget,로사리오 제도의 예산,Entertainment,엔터테인먼트,6,13,25
176,Rosario Islands on a Budget,로사리오 제도의 예산,Alcohol,주류,1 - 4,3 - 9,6 - 17
177,Salento on a Budget,살렌토의 예산,Accommodation,숙박,5,11,23
177,Salento on a Budget,살렌토의 예산,Local Transportation,지역 교통,5,14,36
177,Salento on a Budget,살렌토의 예산,Food,음식,6,16,43
177,Salento on a Budget,살렌토의 예산,Entertainment,엔터테인먼트,4,11,30
177,Salento on a Budget,살렌토의 예산,Alcohol,주류,2 - 6,6 - 17,15 - 44
178,Santa Marta on a Budget,산타 마르타의 예산,Accommodation,숙박,5,13,35
178,Santa Marta on a Budget,산타 마르타의 예산,Local Transportation,지역 교통,2,5,16
178,Santa Marta on a Budget,산타 마르타의 예산,Food,음식,7,16,36
178,Santa Marta on a Budget,산타 마르타의 예산,Entertainment,엔터테인먼트,5,13,32
178,Santa Marta on a Budget,산타 마르타의 예산,Alcohol,주류,1 - 3,3 - 10,10 - 30
179,Tena on a Budget,진짜의 예산,Accommodation,숙박,10,23,43
179,Tena on a Budget,진짜의 예산,Local Transportation,지역 교통,7,16,32
179,Tena on a Budget,진짜의 예산,Food,음식,9,25,71
179,Tena on a Budget,진짜의 예산,Entertainment,엔터테인먼트,6,14,28
179,Tena on a Budget,진짜의 예산,Alcohol,주류,2 - 6,5 - 15,11 - 33
180,Costa Rica on a Budget,코스타리카의 예산,Accommodation,숙박,24,61,155
180,Costa Rica on a Budget,코스타리카의 예산,Local Transportation,지역 교통,9.59,26,75
180,Costa Rica on a Budget,코스타리카의 예산,Food,음식,17,42,95
180,Costa Rica on a Budget,코스타리카의 예산,Entertainment,엔터테인먼트,13,32,78
180,Costa Rica on a Budget,코스타리카의 예산,Alcohol,주류,3 - 8,6 - 19,14 - 43
181,Jaco on a Budget,자코의 예산,Accommodation,숙박,27,68,163
181,Jaco on a Budget,자코의 예산,Food,음식,15,36,89
181,Jaco on a Budget,자코의 예산,Entertainment,엔터테인먼트,23,60,162
181,Jaco on a Budget,자코의 예산,Alcohol,주류,7 - 21,16 - 48,29 - 87
182,La Fortuna on a Budget,행운의 예산,Accommodation,숙박,22,51,105
182,La Fortuna on a Budget,행운의 예산,Local Transportation,지역 교통,8,21,52
182,La Fortuna on a Budget,행운의 예산,Food,음식,20,48,105
182,La Fortuna on a Budget,행운의 예산,Entertainment,엔터테인먼트,19,44,88
182,La Fortuna on a Budget,행운의 예산,Alcohol,주류,2 - 7,6 - 17,11 - 33
183,Liberia on a Budget,라이베리아의 예산,Accommodation,숙박,25,60,136
183,Liberia on a Budget,라이베리아의 예산,Local Transportation,지역 교통,19,43,78
183,Liberia on a Budget,라이베리아의 예산,Food,음식,15,36,78
183,Liberia on a Budget,라이베리아의 예산,Entertainment,엔터테인먼트,11,25,47
183,Liberia on a Budget,라이베리아의 예산,Alcohol,주류,3 - 8,6 - 19,13 - 39
184,Puerto Jimenez (Corcovado National Park) on a Budget,푸에르토 히메네스 (코르코바도 국립공원)의 예산,Accommodation,숙박,49,49,49
184,Puerto Jimenez (Corcovado National Park) on a Budget,푸에르토 히메네스 (코르코바도 국립공원)의 예산,Food,음식,23,60,155
184,Puerto Jimenez (Corcovado National Park) on a Budget,푸에르토 히메네스 (코르코바도 국립공원)의 예산,Entertainment,엔터테인먼트,106,120,145
185,Puerto Viejo on a Budget,오래된 푸에르토의 예산,Accommodation,숙박,31,71,138
185,Puerto Viejo on a Budget,오래된 푸에르토의 예산,Local Transportation,지역 교통,15,38,98
185,Puerto Viejo on a Budget,오래된 푸에르토의 예산,Food,음식,25,58,113
185,Puerto Viejo on a Budget,오래된 푸에르토의 예산,Entertainment,엔터테인먼트,28,79,241
185,Puerto Viejo on a Budget,오래된 푸에르토의 예산,Alcohol,주류,3 - 9,7 - 20,13 - 39
186,Quepos on a Budget,퀴 포스의 예산,Accommodation,숙박,30,77,195
186,Quepos on a Budget,퀴 포스의 예산,Local Transportation,지역 교통,4,10,22
186,Quepos on a Budget,퀴 포스의 예산,Food,음식,22,51,101
186,Quepos on a Budget,퀴 포스의 예산,Entertainment,엔터테인먼트,7,17,43
186,Quepos on a Budget,퀴 포스의 예산,Alcohol,주류,3 - 10,7 - 22,14 - 42
187,San Jose on a Budget,산호세의 예산,Accommodation,숙박,19,49,132
187,San Jose on a Budget,산호세의 예산,Local Transportation,지역 교통,7,20,59
187,San Jose on a Budget,산호세의 예산,Food,음식,12,31,76
187,San Jose on a Budget,산호세의 예산,Entertainment,엔터테인먼트,8,21,53
187,San Jose on a Budget,산호세의 예산,Alcohol,주류,3 - 10,8 - 25,19 - 56
188,Santa Elena on a Budget,산타 엘레나의 예산,Accommodation,숙박,22,55,139
188,Santa Elena on a Budget,산타 엘레나의 예산,Local Transportation,지역 교통,5,11,21
188,Santa Elena on a Budget,산타 엘레나의 예산,Food,음식,17,41,92
188,Santa Elena on a Budget,산타 엘레나의 예산,Entertainment,엔터테인먼트,13,30,55
188,Santa Elena on a Budget,산타 엘레나의 예산,Alcohol,주류,1 - 4,3 - 9,6 - 18
189,Tamarindo on a Budget,타마 린드의 예산,Accommodation,숙박,22,50,97
189,Tamarindo on a Budget,타마 린드의 예산,Local Transportation,지역 교통,29,69,154
189,Tamarindo on a Budget,타마 린드의 예산,Food,음식,24,56,112
189,Tamarindo on a Budget,타마 린드의 예산,Entertainment,엔터테인먼트,7,17,41
189,Tamarindo on a Budget,타마 린드의 예산,Alcohol,주류,3 - 9,7 - 21,16 - 47
190,Croatia on a Budget,크로아티아의 예산,Accommodation,숙박,24,57,132
190,Croatia on a Budget,크로아티아의 예산,Local Transportation,지역 교통,5.54,14,37
190,Croatia on a Budget,크로아티아의 예산,Food,음식,23,56,133
190,Croatia on a Budget,크로아티아의 예산,Entertainment,엔터테인먼트,5.91,15,40
190,Croatia on a Budget,크로아티아의 예산,Alcohol,주류,3 - 8,7 - 20,16 - 47
191,Dubrovnik on a Budget,두브 로브 니크의 예산,Accommodation,숙박,24,58,137
191,Dubrovnik on a Budget,두브 로브 니크의 예산,Local Transportation,지역 교통,6,15,36
191,Dubrovnik on a Budget,두브 로브 니크의 예산,Food,음식,28,67,142
191,Dubrovnik on a Budget,두브 로브 니크의 예산,Entertainment,엔터테인먼트,9,22,59
191,Dubrovnik on a Budget,두브 로브 니크의 예산,Alcohol,주류,3 - 10,8 - 24,20 - 60
192,Hvar on a Budget,흐바르의 예산,Accommodation,숙박,20,44,78
192,Hvar on a Budget,흐바르의 예산,Local Transportation,지역 교통,24,55,103
192,Hvar on a Budget,흐바르의 예산,Food,음식,33,77,157
192,Hvar on a Budget,흐바르의 예산,Entertainment,엔터테인먼트,4,9,17
192,Hvar on a Budget,흐바르의 예산,Alcohol,주류,2 - 7,5 - 16,11 - 32
193,Korcula on a Budget,코르출라의 예산,Accommodation,숙박,29,68,138
193,Korcula on a Budget,코르출라의 예산,Local Transportation,지역 교통,1,2,6
193,Korcula on a Budget,코르출라의 예산,Food,음식,25,57,104
193,Korcula on a Budget,코르출라의 예산,Entertainment,엔터테인먼트,6,13,25
193,Korcula on a Budget,코르출라의 예산,Alcohol,주류,2 - 7,6 - 17,11 - 32
194,Novalja on a Budget,노발자의 예산,Accommodation,숙박,14,37,99
194,Novalja on a Budget,노발자의 예산,Local Transportation,지역 교통,5,14,35
194,Novalja on a Budget,노발자의 예산,Food,음식,15,40,109
194,Novalja on a Budget,노발자의 예산,Entertainment,엔터테인먼트,3,7,19
194,Novalja on a Budget,노발자의 예산,Alcohol,주류,2 - 5,4 - 13,12 - 35
195,Plitvice Lakes National Park on a Budget,플리트비체 국립공원의 예산,Accommodation,숙박,31,71,135
195,Plitvice Lakes National Park on a Budget,플리트비체 국립공원의 예산,Local Transportation,지역 교통,13,31,59
195,Plitvice Lakes National Park on a Budget,플리트비체 국립공원의 예산,Food,음식,36,81,152
195,Plitvice Lakes National Park on a Budget,플리트비체 국립공원의 예산,Entertainment,엔터테인먼트,17,39,75
195,Plitvice Lakes National Park on a Budget,플리트비체 국립공원의 예산,Alcohol,주류,4 - 11,8 - 25,16 - 48
196,Rijeka on a Budget,강의 예산,Accommodation,숙박,26,59,111
196,Rijeka on a Budget,강의 예산,Local Transportation,지역 교통,8,19,36
196,Rijeka on a Budget,강의 예산,Food,음식,30,69,139
196,Rijeka on a Budget,강의 예산,Entertainment,엔터테인먼트,5,10,20
196,Rijeka on a Budget,강의 예산,Alcohol,주류,4 - 12,9 - 28,18 - 53
197,Sibenik on a Budget,시베 닉의 예산,Accommodation,숙박,28,64,123
197,Sibenik on a Budget,시베 닉의 예산,Local Transportation,지역 교통,7,15,29
197,Sibenik on a Budget,시베 닉의 예산,Food,음식,26,59,113
197,Sibenik on a Budget,시베 닉의 예산,Entertainment,엔터테인먼트,6,14,27
197,Sibenik on a Budget,시베 닉의 예산,Alcohol,주류,4 - 13,10 - 29,18 - 55
198,Split on a Budget,나뉘다의 예산,Accommodation,숙박,31,86,259
198,Split on a Budget,나뉘다의 예산,Local Transportation,지역 교통,7,17,33
198,Split on a Budget,나뉘다의 예산,Food,음식,19,48,120
198,Split on a Budget,나뉘다의 예산,Entertainment,엔터테인먼트,2,4,9
198,Split on a Budget,나뉘다의 예산,Alcohol,주류,2 - 6,5 - 14,9 - 27
199,Trogir on a Budget,트로 기르의 예산,Accommodation,숙박,29,67,128
199,Trogir on a Budget,트로 기르의 예산,Local Transportation,지역 교통,8,17,33
199,Trogir on a Budget,트로 기르의 예산,Food,음식,29,66,124
199,Trogir on a Budget,트로 기르의 예산,Entertainment,엔터테인먼트,13,28,53
199,Trogir on a Budget,트로 기르의 예산,Alcohol,주류,4 - 12,9 - 26,17 - 50
200,Zadar on a Budget,자 다르의 예산,Accommodation,숙박,26,60,119
200,Zadar on a Budget,자 다르의 예산,Local Transportation,지역 교통,5,11,26
200,Zadar on a Budget,자 다르의 예산,Food,음식,24,57,122
200,Zadar on a Budget,자 다르의 예산,Entertainment,엔터테인먼트,8,23,65
200,Zadar on a Budget,자 다르의 예산,Alcohol,주류,3 - 8,7 - 20,17 - 50
201,Zagreb on a Budget,자그레브의 예산,Accommodation,숙박,24,57,116
201,Zagreb on a Budget,자그레브의 예산,Local Transportation,지역 교통,5,11,22
201,Zagreb on a Budget,자그레브의 예산,Food,음식,14,33,75
201,Zagreb on a Budget,자그레브의 예산,Entertainment,엔터테인먼트,5,14,36
201,Zagreb on a Budget,자그레브의 예산,Alcohol,주류,2 - 6,5 - 16,12 - 37
202,Cuba on a Budget,쿠바의 예산,Accommodation,숙박,8.22,23,75
202,Cuba on a Budget,쿠바의 예산,Local Transportation,지역 교통,3.19,9.64,33
202,Cuba on a Budget,쿠바의 예산,Food,음식,5.77,16,52
202,Cuba on a Budget,쿠바의 예산,Entertainment,엔터테인먼트,3.23,8.27,21
202,Cuba on a Budget,쿠바의 예산,Alcohol,주류,1 - 2,2 - 6,6 - 18
203,Havana on a Budget,아바나의 예산,Accommodation,숙박,15,42,123
203,Havana on a Budget,아바나의 예산,Local Transportation,지역 교통,7,19,58
203,Havana on a Budget,아바나의 예산,Food,음식,7,18,50
203,Havana on a Budget,아바나의 예산,Entertainment,엔터테인먼트,5,11,22
203,Havana on a Budget,아바나의 예산,Alcohol,주류,1 - 3,3 - 9,7 - 21
204,Curacao on a Budget,퀴라소의 예산,Accommodation,숙박,101,231,448
204,Curacao on a Budget,퀴라소의 예산,Local Transportation,지역 교통,11,25,47
204,Curacao on a Budget,퀴라소의 예산,Food,음식,44,105,230
204,Curacao on a Budget,퀴라소의 예산,Entertainment,엔터테인먼트,40,91,175
204,Curacao on a Budget,퀴라소의 예산,Alcohol,주류,5 - 15,12 - 37,28 - 83
205,Cyprus on a Budget,키프로스의 예산,Accommodation,숙박,24,56,117
205,Cyprus on a Budget,키프로스의 예산,Local Transportation,지역 교통,5.70,14,36
205,Cyprus on a Budget,키프로스의 예산,Food,음식,34,80,166
205,Cyprus on a Budget,키프로스의 예산,Entertainment,엔터테인먼트,6.05,14,28
205,Cyprus on a Budget,키프로스의 예산,Alcohol,주류,2 - 7,6 - 18,13 - 40
206,Paphos on a Budget,파 포스의 예산,Accommodation,숙박,24,56,118
206,Paphos on a Budget,파 포스의 예산,Local Transportation,지역 교통,5,14,34
206,Paphos on a Budget,파 포스의 예산,Food,음식,33,76,156
206,Paphos on a Budget,파 포스의 예산,Entertainment,엔터테인먼트,6,14,28
206,Paphos on a Budget,파 포스의 예산,Alcohol,주류,2 - 7,6 - 18,13 - 40
207,the Czech Republic on a Budget,the Czech Republic의 예산,Accommodation,숙박,27,68,173
207,the Czech Republic on a Budget,the Czech Republic의 예산,Local Transportation,지역 교통,4.18,11,27
207,the Czech Republic on a Budget,the Czech Republic의 예산,Food,음식,20,48,105
207,the Czech Republic on a Budget,the Czech Republic의 예산,Entertainment,엔터테인먼트,7.04,17,42
207,the Czech Republic on a Budget,the Czech Republic의 예산,Alcohol,주류,3 - 8,6 - 19,16 - 47
208,Brno on a Budget,브르노의 예산,Accommodation,숙박,35,82,168
208,Brno on a Budget,브르노의 예산,Local Transportation,지역 교통,3,3,3
208,Brno on a Budget,브르노의 예산,Food,음식,42,113,327
208,Brno on a Budget,브르노의 예산,Alcohol,주류,1 - 4,1 - 4,1 - 4
209,Cesky Krumlov on a Budget,체스키크룸로프의 예산,Accommodation,숙박,17,42,95
209,Cesky Krumlov on a Budget,체스키크룸로프의 예산,Local Transportation,지역 교통,1,3,6
209,Cesky Krumlov on a Budget,체스키크룸로프의 예산,Food,음식,18,43,90
209,Cesky Krumlov on a Budget,체스키크룸로프의 예산,Entertainment,엔터테인먼트,3,7,15
209,Cesky Krumlov on a Budget,체스키크룸로프의 예산,Alcohol,주류,1 - 3,2 - 6,4 - 11
210,Karlovy Vary on a Budget,카를로비바리의 예산,Accommodation,숙박,19,44,84
210,Karlovy Vary on a Budget,카를로비바리의 예산,Local Transportation,지역 교통,13,29,56
210,Karlovy Vary on a Budget,카를로비바리의 예산,Food,음식,23,52,98
210,Karlovy Vary on a Budget,카를로비바리의 예산,Entertainment,엔터테인먼트,6,13,25
210,Karlovy Vary on a Budget,카를로비바리의 예산,Alcohol,주류,2 - 5,4 - 11,7 - 21
211,Kutna Hora on a Budget,쿠트나호라의 예산,Accommodation,숙박,14,33,63
211,Kutna Hora on a Budget,쿠트나호라의 예산,Local Transportation,지역 교통,4,9,18
211,Kutna Hora on a Budget,쿠트나호라의 예산,Food,음식,22,50,98
211,Kutna Hora on a Budget,쿠트나호라의 예산,Entertainment,엔터테인먼트,9,20,38
211,Kutna Hora on a Budget,쿠트나호라의 예산,Alcohol,주류,3 - 10,7 - 22,14 - 43
212,Olomouc on a Budget,올로모우츠의 예산,Accommodation,숙박,33,74,142
212,Olomouc on a Budget,올로모우츠의 예산,Local Transportation,지역 교통,4,9,18
212,Olomouc on a Budget,올로모우츠의 예산,Food,음식,26,58,111
212,Olomouc on a Budget,올로모우츠의 예산,Entertainment,엔터테인먼트,10,23,45
212,Olomouc on a Budget,올로모우츠의 예산,Alcohol,주류,3 - 9,7 - 20,13 - 38
213,Plzen on a Budget,플젠의 예산,Accommodation,숙박,30,69,132
213,Plzen on a Budget,플젠의 예산,Local Transportation,지역 교통,4,9,18
213,Plzen on a Budget,플젠의 예산,Food,음식,26,61,117
213,Plzen on a Budget,플젠의 예산,Entertainment,엔터테인먼트,11,24,47
213,Plzen on a Budget,플젠의 예산,Alcohol,주류,6 - 17,13 - 40,25 - 76
214,Prague on a Budget,프라하의 예산,Accommodation,숙박,30,76,199
214,Prague on a Budget,프라하의 예산,Local Transportation,지역 교통,4,9,22
214,Prague on a Budget,프라하의 예산,Food,음식,21,50,112
214,Prague on a Budget,프라하의 예산,Entertainment,엔터테인먼트,7,18,45
214,Prague on a Budget,프라하의 예산,Alcohol,주류,3 - 8,6 - 19,13 - 39
215,Telc on a Budget,통신사의 예산,Accommodation,숙박,14,32,62
215,Telc on a Budget,통신사의 예산,Local Transportation,지역 교통,7,16,30
215,Telc on a Budget,통신사의 예산,Food,음식,24,54,103
215,Telc on a Budget,통신사의 예산,Entertainment,엔터테인먼트,3,6,12
215,Telc on a Budget,통신사의 예산,Alcohol,주류,1 - 4,3 - 9,5 - 16
216,Denmark on a Budget,덴마크의 예산,Accommodation,숙박,39,95,218
216,Denmark on a Budget,덴마크의 예산,Local Transportation,지역 교통,15,38,91
216,Denmark on a Budget,덴마크의 예산,Food,음식,40,98,228
216,Denmark on a Budget,덴마크의 예산,Entertainment,엔터테인먼트,16,47,167
216,Denmark on a Budget,덴마크의 예산,Alcohol,주류,4 - 13,10 - 31,22 - 67
217,Aalborg on a Budget,올보르의 예산,Accommodation,숙박,42,95,182
217,Aalborg on a Budget,올보르의 예산,Local Transportation,지역 교통,15,35,67
217,Aalborg on a Budget,올보르의 예산,Food,음식,39,89,168
217,Aalborg on a Budget,올보르의 예산,Entertainment,엔터테인먼트,11,26,50
217,Aalborg on a Budget,올보르의 예산,Alcohol,주류,5 - 14,11 - 32,20 - 60
218,Copenhagen on a Budget,코펜하겐의 예산,Accommodation,숙박,39,98,239
218,Copenhagen on a Budget,코펜하겐의 예산,Local Transportation,지역 교통,28,78,243
218,Copenhagen on a Budget,코펜하겐의 예산,Food,음식,45,116,296
218,Copenhagen on a Budget,코펜하겐의 예산,Entertainment,엔터테인먼트,13,34,95
218,Copenhagen on a Budget,코펜하겐의 예산,Alcohol,주류,3 - 9,7 - 22,15 - 45
219,Odense on a Budget,오렌세의 예산,Accommodation,숙박,38,88,168
219,Odense on a Budget,오렌세의 예산,Local Transportation,지역 교통,21,48,91
219,Odense on a Budget,오렌세의 예산,Food,음식,43,97,181
219,Odense on a Budget,오렌세의 예산,Entertainment,엔터테인먼트,14,32,61
219,Odense on a Budget,오렌세의 예산,Alcohol,주류,5 - 16,12 - 36,23 - 69
220,Dominica on a Budget,도미니카의 예산,Accommodation,숙박,59,135,257
220,Dominica on a Budget,도미니카의 예산,Local Transportation,지역 교통,6.65,15,28
220,Dominica on a Budget,도미니카의 예산,Food,음식,34,78,153
220,Dominica on a Budget,도미니카의 예산,Entertainment,엔터테인먼트,16,38,78
220,Dominica on a Budget,도미니카의 예산,Alcohol,주류,4 - 11,9 - 26,16 - 49
221,the Dominican Republic on a Budget,the Dominican Republic의 예산,Accommodation,숙박,33,84,223
221,the Dominican Republic on a Budget,the Dominican Republic의 예산,Local Transportation,지역 교통,3.71,10,32
221,the Dominican Republic on a Budget,the Dominican Republic의 예산,Food,음식,25,60,138
221,the Dominican Republic on a Budget,the Dominican Republic의 예산,Entertainment,엔터테인먼트,11,29,75
221,the Dominican Republic on a Budget,the Dominican Republic의 예산,Alcohol,주류,2 - 7,6 - 17,14 - 43
222,Amber Cove (Puerto Plata) on a Budget,앰버 코브 (푸에르토 플라 타)의 예산,Accommodation,숙박,53,140,384
222,Amber Cove (Puerto Plata) on a Budget,앰버 코브 (푸에르토 플라 타)의 예산,Local Transportation,지역 교통,4,9,21
222,Amber Cove (Puerto Plata) on a Budget,앰버 코브 (푸에르토 플라 타)의 예산,Food,음식,30,75,177
222,Amber Cove (Puerto Plata) on a Budget,앰버 코브 (푸에르토 플라 타)의 예산,Entertainment,엔터테인먼트,16,40,104
222,Amber Cove (Puerto Plata) on a Budget,앰버 코브 (푸에르토 플라 타)의 예산,Alcohol,주류,3 - 8,7 - 20,16 - 49
223,Cabarete on a Budget,카바 레트의 예산,Accommodation,숙박,27,69,172
223,Cabarete on a Budget,카바 레트의 예산,Local Transportation,지역 교통,14,39,114
223,Cabarete on a Budget,카바 레트의 예산,Food,음식,29,67,136
223,Cabarete on a Budget,카바 레트의 예산,Entertainment,엔터테인먼트,19,49,126
223,Cabarete on a Budget,카바 레트의 예산,Alcohol,주류,3 - 9,8 - 23,19 - 56
224,Punta Cana on a Budget,카나 팁의 예산,Accommodation,숙박,38,94,229
224,Punta Cana on a Budget,카나 팁의 예산,Local Transportation,지역 교통,3,6,15
224,Punta Cana on a Budget,카나 팁의 예산,Food,음식,26,63,150
224,Punta Cana on a Budget,카나 팁의 예산,Entertainment,엔터테인먼트,12,29,74
224,Punta Cana on a Budget,카나 팁의 예산,Alcohol,주류,2 - 6,5 - 15,13 - 38
225,Santo Domingo on a Budget,산토 도밍고의 예산,Accommodation,숙박,15,40,107
225,Santo Domingo on a Budget,산토 도밍고의 예산,Local Transportation,지역 교통,2,5,10
225,Santo Domingo on a Budget,산토 도밍고의 예산,Food,음식,22,53,116
225,Santo Domingo on a Budget,산토 도밍고의 예산,Entertainment,엔터테인먼트,5,14,40
225,Santo Domingo on a Budget,산토 도밍고의 예산,Alcohol,주류,1 - 4,4 - 11,9 - 28
226,Sosua on a Budget,소수아의 예산,Accommodation,숙박,63,143,274
226,Sosua on a Budget,소수아의 예산,Local Transportation,지역 교통,22,50,95
226,Sosua on a Budget,소수아의 예산,Food,음식,41,94,181
226,Sosua on a Budget,소수아의 예산,Entertainment,엔터테인먼트,18,41,78
226,Sosua on a Budget,소수아의 예산,Alcohol,주류,4 - 11,9 - 26,17 - 50
227,Ecuador on a Budget,에콰도르의 예산,Accommodation,숙박,8.26,20,47
227,Ecuador on a Budget,에콰도르의 예산,Local Transportation,지역 교통,3.49,10,34
227,Ecuador on a Budget,에콰도르의 예산,Food,음식,12,31,75
227,Ecuador on a Budget,에콰도르의 예산,Entertainment,엔터테인먼트,8.33,21,55
227,Ecuador on a Budget,에콰도르의 예산,Alcohol,주류,2 - 7,6 - 18,16 - 49
228,Banos on a Budget,바노스의 예산,Accommodation,숙박,6.98,16,28
228,Banos on a Budget,바노스의 예산,Local Transportation,지역 교통,4.15,10,25
228,Banos on a Budget,바노스의 예산,Food,음식,11,26,54
228,Banos on a Budget,바노스의 예산,Entertainment,엔터테인먼트,7.33,19,48
228,Banos on a Budget,바노스의 예산,Alcohol,주류,2 - 6,5 - 15,13 - 39
229,Cuenca on a Budget,쿠엥카의 예산,Accommodation,숙박,5.23,13,28
229,Cuenca on a Budget,쿠엥카의 예산,Local Transportation,지역 교통,3.87,11,33
229,Cuenca on a Budget,쿠엥카의 예산,Food,음식,10,26,62
229,Cuenca on a Budget,쿠엥카의 예산,Entertainment,엔터테인먼트,5.86,16,44
229,Cuenca on a Budget,쿠엥카의 예산,Alcohol,주류,3 - 8,7 - 21,18 - 54
230,Guayaquil on a Budget,과야 킬의 예산,Accommodation,숙박,14,32,62
230,Guayaquil on a Budget,과야 킬의 예산,Local Transportation,지역 교통,6.18,15,38
230,Guayaquil on a Budget,과야 킬의 예산,Food,음식,20,50,121
230,Guayaquil on a Budget,과야 킬의 예산,Entertainment,엔터테인먼트,9.06,21,40
230,Guayaquil on a Budget,과야 킬의 예산,Alcohol,주류,4 - 11,9 - 26,16 - 49
231,Montanita on a Budget,몬타니타의 예산,Accommodation,숙박,18,41,79
231,Montanita on a Budget,몬타니타의 예산,Local Transportation,지역 교통,17,39,74
231,Montanita on a Budget,몬타니타의 예산,Food,음식,21,48,92
231,Montanita on a Budget,몬타니타의 예산,Entertainment,엔터테인먼트,13,31,59
231,Montanita on a Budget,몬타니타의 예산,Alcohol,주류,2 - 5,4 - 12,8 - 23
232,Galapagos Islands on a Budget,Galapagos Islands의 예산,Accommodation,숙박,26,65,168
232,Galapagos Islands on a Budget,Galapagos Islands의 예산,Local Transportation,지역 교통,24,54,98
232,Galapagos Islands on a Budget,Galapagos Islands의 예산,Food,음식,21,55,147
232,Galapagos Islands on a Budget,Galapagos Islands의 예산,Entertainment,엔터테인먼트,15,35,66
232,Galapagos Islands on a Budget,Galapagos Islands의 예산,Alcohol,주류,3 - 10,8 - 23,16 - 47
233,Quito on a Budget,키토의 예산,Accommodation,숙박,9.16,22,49
